Town,Total Population,Total Population 90% MoE,Total Population in Poverty,Total Population in Poverty 90% MOE,Pct Population in Poverty,Pct Population in Poverty 90% MOE,Total Population Income 1-2x Poverty,Total Population Income 1-2x Poverty 90% MOE,Pct Population Income 1-2x Poverty,Pct Population Income 1-2x Poverty 90% MOE,Total Population Under 18,Total Population Under 18 90% MOE,Total Children in Poverty,Total Children in Poverty 90% MOE,Pct Children in Poverty,Pct Children in Poverty 90% MOE,Total Children Income 1-2x Poverty,Total Children Income 1-2x Poverty 90% MOE,Pct Children Income 1-2x Poverty,Pct Children Income 1-2x Poverty 90% MOE
New Hartford,6932,23,166,107,0.024,0.015,519,200,0.075,0.029,1675,297,40,57,0.024,0.034,0,66,0,0.04
New Milford,27983,27,1596,440,0.058,0.016,2798,677,0.101,0.024,6523,514,369,150,0.057,0.024,874,290,0.135,0.046
Norfolk,1497,154,108,54,0.072,0.035,224,98,0.15,0.064,311,72,43,43,0.14,0.143,43,47,0.14,0.157
North Canaan,3286,17,292,170,0.093,0.054,571,260,0.182,0.082,642,170,105,77,0.173,0.134,132,129,0.217,0.219
Plymouth,12148,38,792,289,0.066,0.024,1473,446,0.122,0.037,2669,304,234,130,0.088,0.05,497,188,0.187,0.074
Roxbury,2301,204,74,39,0.032,0.017,163,79,0.071,0.034,394,94,0,36,0,0.091,41,51,0.104,0.132
Salisbury,3722,19,165,91,0.047,0.026,456,220,0.129,0.062,611,184,0,36,0,0.061,95,93,0.162,0.163
Sharon,2769,18,170,102,0.063,0.038,462,193,0.172,0.072,412,114,0,36,0,0.089,110,86,0.273,0.232
Thomaston,7831,18,223,93,0.029,0.012,731,230,0.094,0.03,1548,223,28,56,0.019,0.038,161,107,0.109,0.075
Torrington,36061,38,3903,691,0.111,0.02,5957,763,0.169,0.022,7141,522,976,267,0.14,0.04,1362,320,0.196,0.048
Warren,1475,124,107,59,0.073,0.039,112,58,0.076,0.039,312,65,48,42,0.155,0.139,34,44,0.11,0.144
